bar_index,300348.SZ,300735.SZ,688213.SH,001696.SZ,301363.SZ,301262.SZ,301348.SZ,300002.SZ,688630.SH,688088.SH,688400.SH,300723.SZ,300366.SZ,688766.SH,603103.SH,002920.SZ,603728.SH,300260.SZ,300693.SZ,688091.SH
16,4100.000000,117400.000000,3187.000000,349300.000000,4300.000000,7500.000000,5300.000000,51900.000000,6973.000000,5376.000000,14828.000000,4600.000000,24400.000000,,2500.000000,8700.000000,26800.000000,13500.000000,102000.000000,3227.000000
17,19000.000000,274300.000000,4319.000000,127500.000000,3200.000000,2800.000000,12400.000000,40600.000000,4652.000000,18417.000000,9192.000000,1100.000000,17100.000000,,10300.000000,6000.000000,4300.000000,14500.000000,25500.000000,3700.000000
18,9800.000000,230700.000000,7141.000000,172500.000000,1100.000000,600.000000,4300.000000,49700.000000,7365.000000,3202.000000,3386.000000,0.000000,11200.000000,,13700.000000,9200.000000,1100.000000,8800.000000,61700.000000,2317.000000
19,8400.000000,176100.000000,2100.000000,134800.000000,600.000000,1400.000000,13500.000000,107000.000000,3030.000000,6300.000000,0.000000,2500.000000,39700.000000,,14300.000000,2100.000000,1900.000000,3300.000000,38500.000000,2633.000000
20,24500.000000,148600.000000,2662.000000,170100.000000,2200.000000,800.000000,3900.000000,86800.000000,2001.000000,4512.000000,1000.000000,20300.000000,19100.000000,,3700.000000,6100.000000,5300.000000,13200.000000,96800.000000,6759.000000
21,20900.000000,84900.000000,3638.000000,134600.000000,2600.000000,7400.000000,13800.000000,68700.000000,1101.000000,6617.000000,4793.000000,2700.000000,6000.000000,,4600.000000,4100.000000,2000.000000,9600.000000,17100.000000,2032.000000
22,35100.000000,121300.000000,1364.000000,153800.000000,1100.000000,500.000000,5500.000000,55500.000000,2598.000000,1775.000000,2881.000000,5500.000000,5400.000000,,12700.000000,2000.000000,7600.000000,11600.000000,11800.000000,278.000000
23,81300.000000,116900.000000,1991.000000,225900.000000,200.000000,1900.000000,7500.000000,68800.000000,1891.000000,3424.000000,9562.000000,500.000000,7300.000000,,10500.000000,3300.000000,1700.000000,21300.000000,23100.000000,5000.000000
24,32200.000000,266500.000000,2722.000000,371200.000000,800.000000,600.000000,6000.000000,106100.000000,975.000000,4206.000000,16031.000000,700.000000,5800.000000,,2200.000000,5100.000000,12900.000000,8700.000000,16000.000000,1300.000000
25,50300.000000,91600.000000,3630.000000,210600.000000,4000.000000,9100.000000,9200.000000,43700.000000,0.000000,15774.000000,11851.000000,12900.000000,21300.000000,,28200.000000,14400.000000,9600.000000,35400.000000,7400.000000,10262.000000
26,7200.000000,138200.000000,2153.000000,94000.000000,3400.000000,10200.000000,8800.000000,52800.000000,6493.000000,5345.000000,5500.000000,16100.000000,11000.000000,,7900.000000,2400.000000,23700.000000,21300.000000,9700.000000,908.000000
27,43200.000000,98800.000000,2490.000000,160900.000000,2400.000000,7500.000000,18500.000000,16000.000000,2833.000000,13389.000000,12245.000000,17900.000000,76400.000000,,18200.000000,3200.000000,4900.000000,25900.000000,12700.000000,17924.000000
28,197400.000000,139500.000000,14756.000000,841100.000000,9700.000000,1300.000000,10900.000000,30900.000000,8079.000000,9021.000000,11425.000000,7800.000000,9200.000000,,27900.000000,3500.000000,6600.000000,47900.000000,8000.000000,400.000000
29,56300.000000,87100.000000,7742.000000,152100.000000,2700.000000,6000.000000,11700.000000,47800.000000,5739.000000,6392.000000,7905.000000,14700.000000,16600.000000,,3800.000000,2400.000000,11400.000000,11500.000000,8600.000000,644.000000
30,12500.000000,186800.000000,2437.000000,193800.000000,2300.000000,1700.000000,2200.000000,60900.000000,5934.000000,2951.000000,2439.000000,1500.000000,84100.000000,,5600.000000,6200.000000,5600.000000,1500.000000,8500.000000,7313.000000
31,13800.000000,117200.000000,7035.000000,371900.000000,300.000000,2600.000000,2300.000000,37900.000000,786.000000,5370.000000,1259.000000,600.000000,1900.000000,,6600.000000,20700.000000,25800.000000,8200.000000,4600.000000,1800.000000
32,7900.000000,94800.000000,3455.000000,255196.000000,3900.000000,4700.000000,15900.000000,128400.000000,1538.000000,9280.000000,31283.000000,5600.000000,17400.000000,,2000.000000,2300.000000,26500.000000,70800.000000,7800.000000,1781.000000
33,99000.000000,96100.000000,13218.000000,288604.000000,11200.000000,1700.000000,10434.000000,36400.000000,988.000000,13987.000000,20173.000000,1900.000000,44100.000000,,17400.000000,4200.000000,17100.000000,42500.000000,27400.000000,4211.000000
34,25400.000000,130900.000000,7569.000000,197800.000000,700.000000,8400.000000,6100.000000,141500.000000,200.000000,13518.000000,13901.000000,5600.000000,10700.000000,,7000.000000,15700.000000,57900.000000,28300.000000,103300.000000,8169.000000
35,29700.000000,150600.000000,4568.000000,138200.000000,1400.000000,6700.000000,3400.000000,73500.000000,6137.000000,7748.000000,829.000000,1300.000000,6300.000000,,12900.000000,10900.000000,4400.000000,50600.000000,17300.000000,14483.000000
